,phi,se,loo,lift_out,lift_self,ret,asimetria,frac_neg,marcada_panel,trivial,condicion,corrompida
140,0.012880296026176869,0.0019290387931277402,0.001998235946148341,0.6037398838002002,0.5683723299848837,1.2078839317560992,0.9892702275012665,0.044444444444444446,False,False,C1_bal_0.50,False
182,0.016450713818767136,0.0033693387441137146,0.0025181156429679996,0.20469661126437708,0.01037992357436802,0.4095302534509873,0.655668811414851,0.24444444444444444,False,False,C1_bal_0.50,True
184,0.003949869545056001,0.0018490190554560975,0.0006225648887128177,0.19854631400604494,0.0359014019476241,0.3972255417146968,-0.04194442711766028,0.4222222222222222,False,False,C1_bal_0.50,True
188,0.01237648035809332,0.0024462948119952795,0.00016672188360344897,0.43203505270680326,0.40654797278953475,0.8643593244746539,0.784072605931477,0.13333333333333333,False,False,C1_bal_0.50,False
227,0.03561672562857074,0.004512671276774256,0.0019062730970954567,0.6056969223003174,0.7023354043570796,1.211799318864932,0.9947615414694541,0.08888888888888889,False,False,C1_bal_0.50,False
244,0.016782927795731834,0.0019688189128598027,0.003320677556302165,0.40465491939046777,0.29421271937425203,0.809580728642999,1.0,0.0,False,False,C1_bal_0.50,False
275,0.043935858002488545,0.005741071507990464,0.004842293074284076,0.6729525838199554,0.5343850238051798,1.3463556651474682,1.0,0.0,False,False,C1_bal_0.50,False
280,0.023396865505242073,0.0028833459507026085,0.0018561374025874988,0.42491352609497857,0.0945881780261582,0.8501115038571855,1.0,0.0,False,False,C1_bal_0.50,False
281,0.012003278366980334,0.0024489212263486527,-0.0017380459722436958,0.1922278282696623,0.11768539741114215,0.38458434043117784,0.804312146413733,0.4,False,False,C1_bal_0.50,True
301,0.02257307781257768,0.0027106098497336624,0.0017568771104508052,0.5614623142354118,0.5357722689436935,1.1233004905734916,0.9327616748351173,0.044444444444444446,False,False,C1_bal_0.50,False
328,0.006287776580359359,0.001864513593386005,-0.0025516162261995934,0.5195800953269853,0.5583333333333333,1.0395080153648775,0.7406493546327197,0.6222222222222222,False,False,C1_bal_0.50,False
382,0.009791770202686872,0.0011851365360024027,0.0006734831291812515,0.1328248217919852,0.06246337743183057,0.26573856106879434,0.9230455855045012,0.15555555555555556,False,False,C1_bal_0.50,True
392,0.015060651340949327,0.0017511021383543272,0.003393626315640552,0.4507521334572404,0.355812886207161,0.9018060158304237,0.9419812859060911,0.06666666666666667,False,False,C1_bal_0.50,False
394,0.004206386739332344,0.0013525837951161186,0.003899124784764174,0.1579072053229364,0.005569684080762543,0.31592011913727874,0.3596938718502949,0.24444444444444444,False,False,C1_bal_0.50,True
397,0.027652496935101273,0.00352007854638542,0.0018328099617891391,0.6841816157219234,0.36325192917104676,1.3688212460499423,0.9993807075722981,0.022222222222222223,False,False,C1_bal_0.50,False
420,0.019812574200348064,0.002328642288503602,0.0024926352108251004,0.5413948778317313,0.4558524057926255,1.0831521839369125,0.992751763000152,0.022222222222222223,False,False,C1_bal_0.50,False
449,0.03416186241788294,0.003602257769824076,0.006708385500884373,0.4964042221350876,0.6003515562892768,0.9931407542578171,1.0,0.0,False,False,C1_bal_0.50,False
452,0.03657711895696176,0.004646830970389456,-3.223889597969709e-05,0.6072671361081156,0.45552514726677695,1.2149407976354296,0.9807130484841395,0.15555555555555556,False,False,C1_bal_0.50,False
63,0.032011853974491654,0.0031363437251084813,0.0022969250564369714,0.49754769176105396,0.4248223324079219,1.023506734560907,0.9625055335370719,0.022222222222222223,False,False,C2_bal_1.00,False
73,0.03127470035429191,0.0036328264941421487,0.0008540748872110093,0.48522191697988654,0.5644373953162493,0.9981513491252845,0.9478632979892054,0.08888888888888889,False,False,C2_bal_1.00,False
